customerID,ChurnProbability,RiskSegment,Recommendation,MonthlyCharges,TotalCharges,tenure,PredictedChurn
7590-VHVEG,0.6782688,High,Offer Upgrade Package,29.85,29.85,1,1
5575-GNVDE,0.044923287,Low,No Action,56.95,1889.5,34,0
3668-QPYBK,0.3964303,Medium,No Action,53.85,108.15,2,0
7795-CFOCW,0.04269919,Low,No Action,42.3,1840.75,45,0
9237-HQITU,0.61858195,High,Offer Upgrade Package,70.7,151.65,2,1
9305-CDSKC,0.8020622,Critical,Retention Agent + Discount,99.65,820.5,8,1
1452-KIOVK,0.3640808,Medium,No Action,89.1,1949.4,22,0
6713-OKOMC,0.25915992,Medium,No Action,29.75,301.9,10,0
7892-POOKP,0.61123484,High,Offer Upgrade Package,104.8,3046.05,28,1
6388-TABGU,0.043232173,Low,No Action,56.15,3487.95,62,0
9763-GRSKD,0.1944961,Low,No Action,49.95,587.45,13,0
7469-LKBCI,0.022806827,Low,No Action,18.95,326.8,16,0
8091-TTVAX,0.21556658,Low,No Action,100.35,5681.1,58,0
0280-XJGEX,0.60660374,High,Offer Upgrade Package,103.7,5036.3,49,1
5129-JLPIS,0.4328113,Medium,Send Promotional Email,105.5,2686.05,25,0
3655-SNQYZ,0.059208624,Low,No Action,113.25,7895.15,69,0
8191-XWSZG,0.03654289,Low,No Action,20.65,1022.95,52,0
9959-WOFKT,0.053468548,Low,No Action,106.7,7382.25,71,0
4190-MFLUW,0.2032672,Low,No Action,55.2,528.35,10,0
4183-MYFRB,0.43226022,Medium,Send Promotional Email,90.05,1862.9,21,0
8779-QRDMV,0.7667639,Critical,Offer Upgrade Package,39.65,39.65,1,1
1680-VDCWW,0.043048095,Low,No Action,19.8,202.25,12,0
1066-JKSGK,0.30476552,Medium,No Action,20.15,20.15,1,0
3638-WEABW,0.03381959,Low,No Action,59.9,3505.1,58,0
6322-HRPFA,0.08833941,Low,No Action,59.6,2970.3,49,0
6865-JZNKO,0.14142181,Low,No Action,55.3,1530.6,30,0
6467-CHFZW,0.53254175,High,Send Promotional Email,99.35,4749.15,47,1
8665-UTDHZ,0.5803367,High,Send Promotional Email,30.2,30.2,1,1
5248-YGIJN,0.021083582,Low,No Action,90.25,6369.45,72,0
8773-HHUOZ,0.22290261,Low,No Action,64.7,1093.1,17,0
3841-NFECX,0.033854287,Low,No Action,96.35,6766.95,71,0
4929-XIHVW,0.7796211,Critical,Offer Upgrade Package,95.5,181.65,2,1
6827-IEAUQ,0.039277595,Low,No Action,66.15,1874.45,27,0
7310-EGVHZ,0.2754885,Medium,No Action,20.2,20.2,1,0
3413-BMNZE,0.60706264,High,Offer Upgrade Package,45.25,45.25,1,1
6234-RAAPL,0.03255502,Low,No Action,99.9,7251.7,72,0
6047-YHPVI,0.5405158,High,Send Promotional Email,69.7,316.9,5,1
6572-ADKRS,0.22458352,Low,No Action,74.8,3548.3,46,0
5380-WJKOV,0.63246864,High,Offer Upgrade Package,106.35,3549.25,34,1
8168-UQWWF,0.8141456,Critical,Retention Agent + Discount,97.85,1105.4,11,1
8865-TNMNX,0.09456171,Low,No Action,49.55,475.7,10,0
9489-DEDVP,0.027566519,Low,No Action,69.2,4872.35,70,0
9867-JCZSP,0.036756095,Low,No Action,20.75,418.25,17,0
4671-VJLCL,0.026330698,Low,No Action,79.85,4861.45,63,0
4080-IIARD,0.23184201,Low,No Action,76.2,981.45,13,0
3714-NTNFO,0.5071415,High,Send Promotional Email,84.5,3906.7,49,1
